name,address,region
Rumah Makan Soto Ayam 61,Jl.  Jendral A Yani 61,yogyakarta
Warteg Bahari,Jl.  Pekalangan 100,cirebon
Millenium 2000 Salon,Jl.  Danau Sunter Utara Sunter Mall Kav II t 1,jakarta
PT Basket Indonesia Dotcom,Gedung Pasar Festival 60 Lantai UG,jakarta
Citra Asri Buana PT,Jl.  Surotokunto 217 Adiarsa,karawang
Jessika Salon,Jl Pemuda 94-D,jakarta
SMP Kristen Triana,Jl.  Alaydrus 8,jakarta
Manisan Seger,Jl.  Raya Cisaat 248  Cisaat,sukabumi
Sekolah Tinggi Ilmu Ekonomi Tunas Patria,Jl.  Proklamasi Blok A/16,depok
UD Gresik Indah,Jl Dr Soetomo 191,gresik
Bintang Hotel,Jl.  Hamid Rusdi 87 Bunulrejo Blimbing,malang
Warung Aneka Pepesan,Jl.  Jaksa Agung Suprapto 39-41,surabaya
Apotik Merpati,Jl.  Kb Jati 30,bandung
SD Negeri 05 Pagi Rawa Badak Selatan,Jl.  Alur Laut Gg Pattimura 45,jakarta
TK Amanah AT Taqwa,Villa Pamulang 1,jakarta
Restoran Sumber Rapi,Jl.  Deli Indah X Blok F/17,medan
Degree Window Films,"Jl. haji nawi raya no 22 f kebayoran baru,",jakarta
Apotik Agung Farma,Jl.  Pandegiling 177-I,surabaya
Arsy_15,Jl.  Bojong Raya 57 Caringin,bandung
TK Al Hijrah,Jl.  Batu Aji Pemai,batam
RSB Elim,Jl.  Sungai Saddang 70,makassar
Bank Mega Jl RS Fatmawati,Jl.  RS Fatmawati 80-EF,jakarta
Klinik Kranji,Jl.  Tulang Bawang Blok C 188,bekasi
Alila Hotel Jakarta,Jl.  Pecenongan Kav 7-17 Hotel Alila Lantai 6,jakarta
David Hair Salon,Jl.  Dr Muwardi Raya 58,jakarta
ATM BNI RM Sederhana,Jl.  Ki samaun,tangerang
SD Negeri 16 Pagi Jatiwaringin,Jl.  Raya Jatiwaringin,jakarta
SD Negeri Sekeloa 1,Jl.  Sekeloa Utara 30-A,bandung
Homestay Chandra,Jl.  Simpang Telawang 2-H Mawar,banjarmasin
Sari Lumas Bengkel,Jl.  Kyai Saleh 22,semarang
Restoran Ijo,Jl.  Industri V 141,semarang
SD Angkasa,Jl.  Kol Sukardi 3,surabaya
Rumah Makan Kurdi,Jl.  H Kurdi 55,bandung
Bank BJB Jl Tmn Sari,Jl.  Taman Sari 18,bandung
Rodalink,Jl.  Pahlawan 98 Magersari,sidoarjo
Bali Holiday Village PT,Jl.  MH Thamrin 57,jakarta
Polres Metro Depok,Jl.  Margonda Raya 14,depok
Dwi Tunggal Tourist,Jl.  Padang Tegal  Ubud,gianyar
Suka Suki,Jl.  Ir H Juanda 3 Planet Dago Lantai 2,bandung
Laveda Salon,Jl.  Menanggal Utara 46,jakarta
Toko Mulia,Jl.  Raya Kuta 115 Kerobokan Kuta,denpasar
Akong Salon,Jl.  Mangga Besar Raya 38-AG,jakarta
PT Anofood Prima Nusantara,Jl.  Raya Semplak 172 Ciwaringin,bogor
ATM BII KCP Sunter Paradise,Jl.  Raya Bisma Blok A-5/50,jakarta
Nusa Indah Photo,Jl.  Padma Utara 75,denpasar
Prapat Jaya,Jl.  Taman Sari VI 46,jakarta
SMP Negeri 116 Jakarta,Jl.  Sunter Permai Raya,jakarta
SMP Negeri 191,Jl.  Raya Duta 2,jakarta
Emmy Beauty Salon,Jl Kapt Pattimura 19,denpasar
Surapita Unitrans PT,Jl.  Jaksa Agung Suprapto 71 Klojen Klojen,malang
TK Islam Al Maarif 1,Jl.  Masjid 137,malang
Toko Korz,Jl.  Letjen S Parman Mal Ciputra 20 Lantai 1,jakarta
Adi Yasa Hotel,Jl.  Nakula 23 Dangin Puri Kaja,denpasar
Alam Kayu Sakti PT,Jl.  Simongan 39,semarang
kli sari,jln kalisari,jakarta
Tii Langga Hotel,Jl.  Yohanes Kelapa Lima Kelapa Lima,kupang
PT Dwi Putra Primatama,Jl KH Agus Salim 22 D-E,jakarta
Restoran Kwetiau Johor,Jl.  Pluit Indah Raya 168,jakarta
Break Salon,Kompleks Bumi Indah 17,batam
Madrasah Diniyah Awaliyah Mahmudiyah,Jl.  Kom L Yos Sudarso Blok C/22 Lor XIV,medan
Apotik Flora,Jl.  Raya Bogor 24,jakarta
Ayuberga PT,Jl.  Merdeka 2 Hotel Panghegar Braga Sumur,bandung
MC Boutique,Kav Hankam Blok R/21,jakarta
Bank DKI PT,Jl.  P Tubagus Angke 22,jakarta
Bank Sumut Jl Tembung,Jl.  Tembung 18-A,medan
Toko Tunas Indah,Jl Imam Bonjol 253 29,denpasar
Sumber Serat Kios,Jl.  Irian 12-C,makassar
SMA Pembangunan IKIP,Gedung IKIP,padang
Lion Mentari Airlines PT,Jl.  Sulawesi 75 Ngagel Wonokromo,surabaya
Irwan Riady,Jl.  Sinabung V 10,jakarta
SMA LB C Hj Soemiyati H,"Jl.  Kagok Dlm III 38, Wonotingal, Candisari",semarang
Bank Permata Jl Raya Cisoka.,Jl.  Raya Cisoka,tangerang
Bank Tabungan Pensiunan Nasional (BTPN) Jl HR Rasuna,Jl.  HR Rasuna Said Kav X-2/4 Century Tower,jakarta
Astra Daihatsu Motor PT,Jl.  Sisingamangaraja 170,medan
Apotik Ngesrep,Jl.  Ngesrep Timur V 9-A,semarang
Toko Helmi Jaya,Pasar Tanah Abang Los AKS Blok C/9 Lantai 2,jakarta
Apotik Surya,Jl.  Pasar Besar Wetan 53/I,surabaya
Victory Plus School,Jl.  Raya Kemang Pratama Blok AN/2-3,bekasi
ATM Mandiri SCBD 2,Mall Pacific Place Kawasan SCBD,jakarta
Travel Fajar Jaya Abadi,Jl.  Kusuma Bangsa 86,surabaya
CH Handricraft,Ruko Taman Dutamas Los A-14 Bl A-7/12,jakarta
Exo Photo,Jl.  Babakan Ciparay 6,bandung
Bank Muamalat Jl Beringin Raya,Jl.  Beringin Raya 17 Perumnas I Blok B/35,tangerang
Rumah Makan Glora,Jl.  Sisingamangaraja 18-A,medan
PT Hastananta,Jl.  Sumbing 10 Bendungan Gajah Mungkur,semarang
TK Nurul Iman,Jl.  Koman Muin 5,jakarta
Wirall Indo Utama PT,Jl.  Dr Rum 30-32 Pasir Kaliki Cicendo,bandung
PT Arnotts Indonesia,Jl.  Dr Wahidin 4,tegal
ATM Mega Mal Bali Ramayana,Jl.  Diponogoro Mall Bali Ramayana,denpasar
Little Steps Preschool,Jl.  Flores 15,surabaya
Rumah Makan Ayodya,Jl.  By Pass Ngurah Rai 102-XX,denpasar
PT Aries Centaurus,Jl.  Ploso Bogen 16 Ploso Tambaksari,surabaya
Rumah Sakit Umum Daerah Dr Soetomo,Jl.  Mayjen Prof Dr Moestopo 6-8,surabaya
Gelora Andi Mattalata Kolam Renang,Jl.  Stadion Mattoangin,makassar
PT Techpack Asia,Jl Raya Karangawen Km 18,semarang
Klinik Yarsi,Jl.  Raya Menteng 5,medan
CV Indira,Jl Tmn Marina Bl A-5/36,semarang
Jemmy Salon Wedding Service,Jl.  Dharmahusada 117-A,surabaya
PT Wira Prospek Cerah,Jl.  Widara 38 Jelambar Grogol Petamburan,jakarta
Toko Linda,Jl.  Kom L Yos Sudarso 22-B,medan
Marketing & International Relations,Jl.  Kuningan Barat 1 No. 1,jakarta
Girls Only,Pakuwon Trade Centre Blok F-5/6-A,surabaya
ATM BNI KLN Ratu Plaza 1,Jl.  Jendral Sudirman kav 9,jakarta
ATM BNI Ruko Bali Maksima,Jl.  Gatot Subroto Barat 357,denpasar
Dessy Munaf Boutique,Jl.  Prapanca Raya 28,jakarta
PT Mitra Enginering Group,Jl.  Damai 22,medan
Sakora Griya Rias Salon,Jl Bunga Sedap Malam 10,malang
Harum Sari,Jl.  Bojong Raya 27,bandung
Play Group Puri Ena Amalia,Kompleks Taman Holis Indah Blok H-3/3,bandung
Apotik AA,Jl.  Jendral A Yani 678,bandung
Super Adi Teknik Indonesia PT,Jl.  Tidar 71-A Sawahan Sawahan,surabaya
Bank Artha Graha Internasional Jl HOS Cokroaminoto,Jl.  HOS Cokroaminoto 40,jakarta
Toko Sudi Mampir,Jl.  Genteng Besar 72-74 Genteng Genteng,surabaya
Bank Negara Indonesia (BNI) Kampus Unnes,Jl.  Sekaran Kampus Unnes,semarang
Kau Kee Chicken Rige,Jl.  Kutisari Utara III 27,jakarta
Reza Catering,Jl.  Telepon IV Perum Telkom Blok B-3/145,makassar
Rumah Makan Sunda Kalapa,Jl.  Dr Soetomo 134,surabaya
Hotel Rosalina,Jl.  Mesjid Raya 75,makassar
Rumah Makan Ayam Goreng Pringgondani,Jl.  Ir H Juanda 275,bandung
Puri Kwitang Hotel,Jl.  Kramat Kwitang I 11-A Kwitang Senen,jakarta
Sun Motor PT,Jl.  Magelang Km 5 7 Sindudadi Mlati,yogyakarta
Beverly Bridal,Jl Raya Kuta Tuban 15-X,denpasar
PT Iso,Psr Turi Baru St H/70,jakarta
Hongkong And Shanghai Banking Corp Jl KH Mas Mansyur,Jl.  KH Mas Mansyur 42,jakarta
Motor Gemilang,Jl.  Jendral Sudirman 141-C,semarang
Lotus Salon,Jl.  Duta I Kompleks Kemang Pratama Blok SS/7,bekasi
Vesya Salon,Jl.  Jendral Basuki Rahmat 14,jakarta
Bank Yudha Bhakti Mahesa Mukti,Jl.  Mahesa Mukti III Blok A/315,semarang
Kenanga Lapis Legit,Jl.  May Oking Jayaatmaja 9,bogor
PT Jurasik,Pasar Projek Regional Los A Lo I Bks 004,jakarta
Bu Mul Ayam Goreng,Kompleks Wisma Tropodo Blok Y/18,surabaya
Yance Salon,Jl.  Kramat Lontar Gg II Blok J/79-C,jakarta
Nawang Wulan Salon,Jl Bhayangkara 9,yogyakarta
SMA PGRI Ciawi,"Jl.  Veteran III, Tajur",bogor
PT Lintas Nusantara Raya,Jl Kemang Utr Ged Bresindo Bl A/3 Lt 3,jakarta
RSU Ciawi,Jl.  Raya Puncak 479,bogor
Gim Training Centre,Jl.  P Diponegoro 89 Graha Primagama,yogyakarta
SD Muararajeun 2,Jl.  Muararajeun 26,bandung
Vesya Salon,Jl Jend Basuki Rahmat 14,jakarta
